type,team,name,start_year,end_year,start_week,end_week
head,OAK,Norv Turner,2004,2005,1,17
head,OAK,Bill Callahan,2002,2003,1,17
head,OAK,Jon Gruden,1998,2001,1,17
head,OAK,Joe Bugel,1997,1997,1,17
head,OAK,Mike White,1995,1996,1,17
head,PHI,Chip Kelly,2013,,1,
head,PHI,Andy Reid,1999,2012,1,17
head,PHI,Ray Rhodes,1995,1998,1,17
head,PIT,Mike Tomlin,2007,,1,
head,PIT,Bill Cowher,1992,2006,1,17
head,PIT,Chuck Noll,1969,1991,1,17
head,SD,Mike McCoy,2013,,1,
head,SD,Norv Turner,2007,2012,1,17
head,SD,Marty Shottenheimer,2002,2006,1,17
head,SD,Mike Riley,1999,2001,1,17
head,SD,June Jones,1998,1998,7,17
head,SD,Kevin Gilbride,1997,1998,1,6
head,SD,Bobby Ross,1992,1996,1,17
head,SEA,Pete Carroll,2010,,1,
head,SEA,Jim L. Mora,2009,2009,1,17
head,SEA,Mike Holmgren,1999,2008,1,17
head,SEA,Dennis Erickson,1995,1998,1,17
head,SEA,Tom Flores,1992,1994,1,17
head,SF,Jim Tomsula,2015,,1,
head,SF,Jim Harbaugh,2011,2014,1,17
head,SF,Jim Tomsula,2010,2010,17,17
head,SF,Mike Singletary,2008,2010,8,16
head,SF,Mike Nolan,2005,2008,1,7
head,SF,Dennis Erickson,2003,2004,1,17
head,SF,Steve Mariucci,1997,2002,1,17
head,SF,George Seifert,1989,1996,1,17
head,SF,Bill Walsh,1979,1988,1,17
head,STL,Jeff Fisher,2012,,1,
head,STL,Steve Spagnuolo,2009,2011,1,17
head,STL,Jim Haslett,2008,2008,5,17
head,STL,Scott Linehan,2006,2008,1,4
head,STL,Joe Vitt,2005,2005,6,17
head,STL,Mike Martz,2000,2005,1,5
head,STL,Dick Vermeil,1997,1999,1,17
head,STL,Rich Brooks,1995,1996,1,17
head,TB,Lovie Smith,2014,,1,
head,TB,Greg Shiano,2012,2013,1,17
head,TB,Raheem Morris,2009,2011,1,17
head,TB,Jon Gruden,2002,2008,1,17
head,TB,Tony Dungy,1996,2001,1,17
head,TEN,Mike Mularkey,2015,,9,
head,TEN,Ken Whisenhunt,2014,2015,1,8
head,TEN,Mike Munchak,2011,2013,1,17
head,TEN,Jeff Fisher,1994,2010,12,17
head,WAS,Jay Gruden,2014,,1,
head,WAS,Mike Shanahan,2010,2013,1,17
head,WAS,Jim Zorn,2008,2009,1,17
head,WAS,Joe Gibbs,2004,2007,1,17
head,WAS,Steve Spurrier,2002,2003,1,17
head,WAS,Marty Shottenheimer,2001,2001,1,17
head,WAS,Terry Robiskie,2000,2000,15,17
head,WAS,Norv Turner,1994,2000,1,14
